AXP:59.51:Moving up:0.009999999999998:59.99:58.93:59.46
MCD:92.20:Moving up:0.010000000000005:93.09:91.56:91.93
KO:77.57:Moving down:-0.010000000000005:77.19:76.49:76.78
JNJ:64.61:Moving down:-0.010000000000005:64.88:64.25:64.28
DD:52.12:Moving up:0.009999999999998:52.60:51.85:52.09
WMT:59.37:Moving up:0.009999999999998:59.24:58.27:59.03
MMM:87.27:Moving down:-0.010000000000005:87.84:85.98:87.27
KFT:39.09:Moving up:0.010000000000005:39.14:38.84:38.87
TRV:64.70:Moving up:0.010000000000005:64.32:63.60:63.92
UTX:77.46:Moving down:-0.010000000000005:77.91:76.76:77.01
MCD:92.19:Moving down:-0.010000000000005:93.09:91.56:91.93
JNJ:64.60:Moving down:-0.010000000000005:64.88:64.25:64.28
UTX:77.44:Moving down:-0.019999999999996:77.91:76.76:77.01
KFT:39.08:Moving down:-0.010000000000005:39.14:38.84:38.87
PFE:22.88:Moving down:-0.010000000000002:22.79:21.95:22.45
WMT:59.36:Moving down:-0.009999999999998:59.24:58.27:59.03
CVX:103.83:Moving down:-0.040000000000006:102.50:101.37:101.78
GE:19.15:Moving down:-0.010000000000002:19.04:18.74:18.91
DIS:45.37:Moving down:-0.010000000000005:45.80:44.41:45.02
UTX:77.43:Moving down:-0.0099999999999909:77.91:76.76:77.01
IBM:201.06:Moving down:-0.02000000000001:203.00:199.06:201.23
TRV:64.71:Moving up:0.0099999999999909:64.32:63.60:63.92
DD:52.11:Moving down:-0.009999999999998:52.60:51.85:52.09
MCD:92.18:Moving down:-0.0099999999999909:93.09:91.56:91.93
BA:74.12:Moving down:-0.039999999999992:74.86:73.32:74.05
CAT:95.72:Moving down:-0.019999999999996:97.30:94.08:95.99
DD:52.10:Moving down:-0.009999999999998:52.60:51.85:52.09
JPM:40.86:Moving down:-0.030000000000001:41.02:40.12:40.64
HD:50.63:Moving down:-0.019999999999996:50.37:49.85:50.11
CAT:95.65:Moving down:-0.069999999999993:97.30:94.08:95.99
GE:19.14:Moving down:-0.009999999999998:19.04:18.74:18.91
PFE:22.87:Moving down:-0.009999999999998:22.79:21.95:22.45
CVX:103.78:Moving down:-0.049999999999997:102.50:101.37:101.78
DIS:45.35:Moving down:-0.019999999999996:45.80:44.41:45.02
MRK:38.45:Moving down:-0.019999999999996:38.49:38.09:38.09
TRV:64.70:Moving down:-0.0099999999999909:64.32:63.60:63.92
DD:52.11:Moving up:0.009999999999998:52.60:51.85:52.09
IBM:201.02:Moving down:-0.039999999999992:203.00:199.06:201.23
AXP:59.50:Moving down:-0.009999999999998:59.99:58.93:59.46
KO:77.55:Moving down:-0.019999999999996:77.19:76.49:76.78
VZ:40.60:Moving down:-0.009999999999998:40.47:40.10:40.25
DD:52.12:Moving up:0.009999999999998:52.60:51.85:52.09
UTX:77.40:Moving down:-0.030000000000001:77.91:76.76:77.01
IBM:201.01:Moving down:-0.010000000000019:203.00:199.06:201.23
MMM:87.23:Moving down:-0.039999999999992:87.84:85.98:87.27
PG:64.20:Moving up:0.010000000000005:64.29:63.57:63.67
CAT:95.69:Moving up:0.039999999999992:97.30:94.08:95.99
HD:50.62:Moving down:-0.010000000000005:50.37:49.85:50.11
CVX:103.83:Moving up:0.049999999999997:102.50:101.37:101.78
MMM:87.25:Moving up:0.019999999999996:87.84:85.98:87.27
UTX:77.42:Moving up:0.019999999999996:77.91:76.76:77.01
JPM:40.89:Moving up:0.030000000000001:41.02:40.12:40.64
JNJ:64.59:Moving down:-0.0099999999999909:64.88:64.25:64.28
MMM:87.26:Moving up:0.010000000000005:87.84:85.98:87.27
